epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8088475465774536,0.6626426577568054,0.001,0.9712823629379272,0.13048890233039856
1,0.9011801481246948,0.327511191368103,0.001,0.969576358795166,0.09709879755973816
2,0.9180293083190918,0.2673379182815552,0.001,0.9778220057487488,0.08238435536623001
3,0.9299018979072571,0.22872008383274078,0.001,0.9792436957359314,0.07212164252996445
4,0.9339542388916016,0.21249350905418396,0.001,0.9832243323326111,0.05119599774479866
5,0.9409924745559692,0.18879656493663788,0.001,0.9812340140342712,0.05708068981766701
6,0.9473375678062439,0.16881993412971497,0.001,0.9863520264625549,0.05049310252070427
7,0.9485283493995667,0.16378162801265717,0.001,0.9889110326766968,0.04372082278132439
8,0.9536470770835876,0.15118078887462616,0.001,0.9874893426895142,0.037227414548397064
9,0.9538781642913818,0.14573116600513458,0.001,0.9872050285339355,0.04291804879903793
10,0.9583925604820251,0.13882602751255035,0.001,0.9849303364753723,0.04962625727057457
