epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8334636688232422,0.5565772652626038,0.001,0.9718509912490845,0.10897770524024963
1,0.9203042984008789,0.26503443717956543,0.001,0.9306226968765259,0.20489716529846191
2,0.9350739121437073,0.21578271687030792,0.001,0.9664486646652222,0.09498154371976852
3,0.9500213265419006,0.16479796171188354,0.001,0.9792436957359314,0.07614133507013321
4,0.9542691707611084,0.1515509933233261,0.001,0.9781063199043274,0.0717918798327446
5,0.9620005488395691,0.12579290568828583,0.001,0.9556440114974976,0.17071428894996643
6,0.9597077965736389,0.1342996507883072,0.001,0.9781063199043274,0.06517982482910156
7,0.9652352929115295,0.1143982782959938,0.001,0.9806653261184692,0.064829021692276
8,0.9671370387077332,0.11043934524059296,0.001,0.9840773344039917,0.06267528235912323
9,0.9699985980987549,0.09637992829084396,0.001,0.9829400181770325,0.06650976091623306
10,0.9698741436004639,0.09870975464582443,0.001,0.9837930202484131,0.053851041942834854
